classifier,period_length,sampling_rate,accuracy,f1_score,best_params_
RandomForestClassifier,1000,1000,0.979,0.979,"{'criterion': 'log_loss', 'max_depth': 60, 'n_estimators': 200}"
RandomForestClassifier,1300,1000,0.983,0.983,"{'criterion': 'gini', 'max_depth': 40, 'n_estimators': 120}"
RandomForestClassifier,1500,1000,0.983,0.983,"{'criterion': 'log_loss', 'max_depth': 80, 'n_estimators': 200}"
RandomForestClassifier,1800,1000,0.988,0.988,"{'criterion': 'entropy', 'max_depth': 100, 'n_estimators': 80}"
RandomForestClassifier,2000,1000,0.986,0.986,"{'criterion': 'log_loss', 'max_depth': 100, 'n_estimators': 500}"
RandomForestClassifier,2200,1000,0.984,0.984,"{'criterion': 'entropy', 'max_depth': 20, 'n_estimators': 50}"
RandomForestClassifier,2500,1000,0.983,0.983,"{'criterion': 'log_loss', 'max_depth': 60, 'n_estimators': 500}"
RandomForestClassifier,1000,2000,0.978,0.978,"{'criterion': 'gini', 'max_depth': 20, 'n_estimators': 200}"
RandomForestClassifier,1300,2000,0.986,0.986,"{'criterion': 'log_loss', 'max_depth': 40, 'n_estimators': 80}"
RandomForestClassifier,1500,2000,0.984,0.984,"{'criterion': 'log_loss', 'max_depth': 80, 'n_estimators': 800}"
RandomForestClassifier,1800,2000,0.987,0.987,"{'criterion': 'entropy', 'max_depth': 60, 'n_estimators': 200}"
RandomForestClassifier,2000,2000,0.987,0.987,"{'criterion': 'entropy', 'max_depth': 80, 'n_estimators': 80}"
RandomForestClassifier,2200,2000,0.984,0.984,"{'criterion': 'log_loss', 'max_depth': 100, 'n_estimators': 200}"
RandomForestClassifier,2500,2000,0.986,0.986,"{'criterion': 'entropy', 'max_depth': 80, 'n_estimators': 200}"
RandomForestClassifier,1000,5000,0.979,0.979,"{'criterion': 'gini', 'max_depth': 60, 'n_estimators': 800}"
RandomForestClassifier,1300,5000,0.986,0.986,"{'criterion': 'log_loss', 'max_depth': 60, 'n_estimators': 500}"
RandomForestClassifier,1500,5000,0.983,0.983,"{'criterion': 'entropy', 'max_depth': 80, 'n_estimators': 200}"
RandomForestClassifier,1800,5000,0.986,0.986,"{'criterion': 'entropy', 'max_depth': 40, 'n_estimators': 200}"
RandomForestClassifier,2000,5000,0.984,0.984,"{'criterion': 'gini', 'max_depth': 40, 'n_estimators': 200}"
RandomForestClassifier,2200,5000,0.984,0.984,"{'criterion': 'log_loss', 'max_depth': 40, 'n_estimators': 120}"
RandomForestClassifier,2500,5000,0.980,0.980,"{'criterion': 'entropy', 'max_depth': 40, 'n_estimators': 80}"
RandomForestClassifier,1000,10000,0.979,0.979,"{'criterion': 'gini', 'max_depth': 40, 'n_estimators': 800}"
RandomForestClassifier,1300,10000,0.986,0.986,"{'criterion': 'gini', 'max_depth': 100, 'n_estimators': 500}"
RandomForestClassifier,1500,10000,0.986,0.986,"{'criterion': 'entropy', 'max_depth': 20, 'n_estimators': 80}"
RandomForestClassifier,1800,10000,0.988,0.988,"{'criterion': 'gini', 'max_depth': 60, 'n_estimators': 200}"
RandomForestClassifier,2000,10000,0.986,0.986,"{'criterion': 'entropy', 'max_depth': 60, 'n_estimators': 120}"
RandomForestClassifier,2200,10000,0.986,0.986,"{'criterion': 'log_loss', 'max_depth': 80, 'n_estimators': 200}"
RandomForestClassifier,2500,10000,0.984,0.984,"{'criterion': 'entropy', 'max_depth': 80, 'n_estimators': 800}"
RandomForestClassifier,1000,20000,0.982,0.982,"{'criterion': 'gini', 'max_depth': 100, 'n_estimators': 80}"
RandomForestClassifier,1300,20000,0.980,0.981,"{'criterion': 'entropy', 'max_depth': 20, 'n_estimators': 80}"
RandomForestClassifier,1500,20000,0.986,0.986,"{'criterion': 'gini', 'max_depth': 80, 'n_estimators': 120}"
RandomForestClassifier,1800,20000,0.988,0.988,"{'criterion': 'log_loss', 'max_depth': 60, 'n_estimators': 800}"
RandomForestClassifier,2000,20000,0.988,0.988,"{'criterion': 'entropy', 'max_depth': 40, 'n_estimators': 500}"
RandomForestClassifier,2200,20000,0.987,0.987,"{'criterion': 'log_loss', 'max_depth': 60, 'n_estimators': 120}"
RandomForestClassifier,2500,20000,0.984,0.984,"{'criterion': 'entropy', 'max_depth': 60, 'n_estimators': 200}"
SVC,0,0,0.993,0.994,"{'C': 100, 'kernel': 'rbf'}"
SVC,1000,1000,0.950,0.951,"{'C': 100, 'kernel': 'rbf'}"
SVC,1300,1000,0.967,0.967,"{'C': 100, 'kernel': 'rbf'}"
SVC,1500,1000,0.959,0.960,"{'C': 100, 'kernel': 'linear'}"
SVC,1800,1000,0.958,0.958,"{'C': 100, 'kernel': 'rbf'}"
SVC,2000,1000,0.961,0.961,"{'C': 100, 'kernel': 'rbf'}"
SVC,2200,1000,0.957,0.957,"{'C': 100, 'kernel': 'rbf'}"
SVC,2500,1000,0.954,0.955,"{'C': 100, 'kernel': 'rbf'}"
SVC,1000,2000,0.950,0.951,"{'C': 100, 'kernel': 'rbf'}"
SVC,1300,2000,0.966,0.966,"{'C': 100, 'kernel': 'rbf'}"
SVC,1500,2000,0.959,0.960,"{'C': 100, 'kernel': 'rbf'}"
SVC,1800,2000,0.958,0.958,"{'C': 100, 'kernel': 'rbf'}"
SVC,2000,2000,0.961,0.961,"{'C': 100, 'kernel': 'rbf'}"
SVC,2200,2000,0.957,0.957,"{'C': 100, 'kernel': 'rbf'}"
SVC,2500,2000,0.954,0.955,"{'C': 100, 'kernel': 'rbf'}"
SVC,1000,5000,0.951,0.952,"{'C': 100, 'kernel': 'linear'}"
SVC,1300,5000,0.963,0.964,"{'C': 100, 'kernel': 'linear'}"
SVC,1500,5000,0.959,0.960,"{'C': 100, 'kernel': 'linear'}"
SVC,1800,5000,0.954,0.955,"{'C': 100, 'kernel': 'rbf'}"
SVC,2000,5000,0.955,0.956,"{'C': 100, 'kernel': 'rbf'}"
SVC,2200,5000,0.954,0.955,"{'C': 100, 'kernel': 'rbf'}"
SVC,2500,5000,0.953,0.953,"{'C': 100, 'kernel': 'rbf'}"
SVC,1000,10000,0.947,0.948,"{'C': 100, 'kernel': 'rbf'}"
SVC,1300,10000,0.963,0.964,"{'C': 100, 'kernel': 'linear'}"
SVC,1500,10000,0.961,0.961,"{'C': 100, 'kernel': 'rbf'}"
SVC,1800,10000,0.957,0.957,"{'C': 100, 'kernel': 'rbf'}"
SVC,2000,10000,0.958,0.959,"{'C': 100, 'kernel': 'rbf'}"
SVC,2200,10000,0.955,0.956,"{'C': 100, 'kernel': 'rbf'}"
SVC,2500,10000,0.955,0.956,"{'C': 100, 'kernel': 'rbf'}"
SVC,1000,20000,0.943,0.944,"{'C': 100, 'kernel': 'rbf'}"
SVC,1300,20000,0.961,0.961,"{'C': 100, 'kernel': 'linear'}"
SVC,1500,20000,0.963,0.964,"{'C': 100, 'kernel': 'rbf'}"
SVC,1800,20000,0.955,0.956,"{'C': 100, 'kernel': 'rbf'}"
SVC,2000,20000,0.957,0.957,"{'C': 100, 'kernel': 'rbf'}"
SVC,2200,20000,0.955,0.956,"{'C': 100, 'kernel': 'rbf'}"
SVC,2500,20000,0.954,0.955,"{'C': 100, 'kernel': 'rbf'}"
